level_0,level_1,level_2,epoch_signal
7,2,16,-7.852227398553525e-06
7,2,17,-6.534866503959394e-06
7,2,18,-3.4593333627323927e-06
7,2,19,8.090016428965853e-07
7,2,20,5.852009868139547e-06
7,2,21,1.0871929569589785e-05
7,2,22,1.6031145298851953e-05
7,2,23,2.090165830163893e-05
7,2,24,2.515737179435598e-05
8,0,0,1.0054725284805151e-05
8,0,1,1.0139683005153132e-05
8,0,2,1.075019115535827e-05
8,0,3,1.1966238704239779e-05
8,0,4,1.3302899804288888e-05
8,0,5,1.3947296455182824e-05
8,0,6,1.3446499561093738e-05
8,0,7,1.1784267729193234e-05
8,0,8,9.543843913312536e-06
8,0,9,7.495554857821088e-06
8,0,10,6.381091320279482e-06
8,0,11,6.3251450261588384e-06
8,0,12,6.874674102286607e-06
8,0,13,7.075304998508541e-06
8,0,14,6.338068582265727e-06
8,0,15,4.71613209562666e-06
8,0,16,3.0942047039347464e-06
8,0,17,2.3852417499072546e-06
8,0,18,3.0878833518653483e-06
8,0,19,4.802102993087514e-06
8,0,20,6.797752677243241e-06
8,0,21,8.35068725502211e-06
8,0,22,9.38928801936899e-06
8,0,23,1.0219454422836442e-05
8,0,24,1.1433357019381327e-05
8,1,0,-4.3496752107467524e-05
8,1,1,-4.381064274438682e-05
8,1,2,-4.4142679619866296e-05
8,1,3,-4.36525216311592e-05
8,1,4,-4.310274735525618e-05
8,1,5,-4.231253469083509e-05
8,1,6,-4.21362382352164e-05
8,1,7,-4.226218215301158e-05
8,1,8,-4.3517686493027e-05
8,1,9,-4.5264251040507113e-05
8,1,10,-4.756350024697929e-05
8,1,11,-4.90013808328864e-05
8,1,12,-4.974684635731348e-05
8,1,13,-4.9471646353179896e-05
8,1,14,-4.961674059170097e-05
8,1,15,-5.0152868081299474e-05
8,1,16,-5.170553417623838e-05
8,1,17,-5.296971145785914e-05
8,1,18,-5.3887460019625116e-05
8,1,19,-5.331187355610539e-05
8,1,20,-5.195391791058953e-05
8,1,21,-4.945433539456628e-05
8,1,22,-4.7144262473385956e-05
8,1,23,-4.485226594157167e-05
8,1,24,-4.362231767546113e-05
8,2,0,1.0162168624899067e-05
8,2,1,9.997026212469132e-06
8,2,2,9.699894288972305e-06
8,2,3,9.667568664002322e-06
8,2,4,1.005831087677085e-05
8,2,5,1.0762870966881451e-05
8,2,6,1.1462680584194964e-05
8,2,7,1.170953927780746e-05
8,2,8,1.103064731135066e-05
8,2,9,9.22276317497176e-06
8,2,10,6.604872858783197e-06
8,2,11,3.9994371632263005e-06
8,2,12,2.258469282426413e-06
8,2,13,1.6823953297392697e-06
8,2,14,1.81978105485113e-06
8,2,15,1.8312883457873139e-06
8,2,16,1.1191528922938239e-06
8,2,17,-2.543272595784381e-07
8,2,18,-1.7040223864739368e-06
8,2,19,-2.5576826755287332e-06
8,2,20,-2.4454384766305006e-06
8,2,21,-1.3611199595294139e-06
8,2,22,4.6977539359140786e-07
8,2,23,2.7696797091070327e-06
8,2,24,5.229641543048679e-06
9,0,0,-1.711415414356297e-05
9,0,1,-1.726237267833013e-05
9,0,2,-1.7891277360041098e-05
9,0,3,-1.8347280548006747e-05
9,0,4,-1.8291641299301997e-05
9,0,5,-1.7433123398972647e-05
9,0,6,-1.630003122687386e-05
9,0,7,-1.4751695781971448e-05
9,0,8,-1.2686355519557079e-05
9,0,9,-9.558395101161971e-06
9,0,10,-5.935475653356508e-06
9,0,11,-2.572593659487551e-06
9,0,12,-7.86292651248567e-07
9,0,13,-7.634757025778397e-07
9,0,14,-2.4319875954876663e-06
9,0,15,-4.845973380175953e-06
9,0,16,-7.726375885421422e-06
9,0,17,-1.0476706822055678e-05
9,0,18,-1.3102468996904326e-05
9,0,19,-1.5042016681444145e-05
9,0,20,-1.643842576352396e-05
9,0,21,-1.7053324226618915e-05
9,0,22,-1.7276933324924604e-05
9,0,23,-1.6712908358226092e-05
9,0,24,-1.5518865488285054e-05
9,1,0,-4.7453205095256e-07
9,1,1,-8.323658345375239e-07
9,1,2,-1.0888094201064207e-06
9,1,3,-5.012655567158934e-07
9,1,4,1.0441585956027613e-06
9,1,5,2.7403255852709605e-06
9,1,6,3.899779461693457e-06
9,1,7,4.620950927082648e-06
9,1,8,5.9647486502639735e-06
9,1,9,8.75435738947216e-06
9,1,10,1.279787266837988e-05
9,1,11,1.662382007667899e-05
9,1,12,1.8681328498200748e-05
9,1,13,1.8273617296831563e-05
9,1,14,1.6226621179027422e-05
9,1,15,1.4028503419324804e-05
9,1,16,1.3008673170710697e-05
9,1,17,1.336383158464106e-05
9,1,18,1.440607323823233e-05
