response,offset_task,prime,pause_trigger,offset_prime,duration_measured_task,correct_resp,task_trigger,ID,rt,duration_frames_task,delay_frames_after,trial_type,duration_measured_prime,prime_trigger,pause_trigger_t,delay_frames_before,onset_prime,task_type,onset_task,gender,age,trial_number,key_t,duration_frames_prime
l,118.01882769999793,no_prime,52,114.35158079999383,2.995384000008926,1,42,Group6,0.44582310001715086,180,118,none,0.03095939999911934,15,114.85217860000557,40,114.3206213999947,2,115.023443699989,female,,21,115.46926680000615,2
l,124.98569219998899,no_prime,52,120.01860879999003,2.9952256999968085,1,42,Group6,0.42913259999477305,180,40,none,0.03115540000726469,15,120.5189931000059,118,119.98745339998277,2,121.99046649999218,female,,22,122.41959909998695,2
l,130.6528228999814,no_prime,52,125.68552510000882,2.9955301999871153,1,42,Group6,0.5957573000050616,180,40,none,0.031077600026037544,15,126.18575770000461,118,125.65444749998278,2,127.65729269999429,female,,23,128.25304999999935,2
a,135.01948580000317,no_prime,51,131.35232089998317,2.995316800021101,1,41,Group6,0.5789430000004359,180,118,none,0.031144199980190024,15,131.85259880000376,40,131.32117670000298,1,132.02416899998207,female,,24,132.6031119999825,2
l,141.98643879999872,right,34,137.01952859997982,2.9951810000056867,1,24,Group6,0.5957304000039585,180,40,right,0.03148069998132996,14,137.51956190000055,118,136.9880478999985,2,138.99125779999304,female,,25,139.586988199997,2
l,146.35322489999817,right,34,142.68619519998902,2.9949291000084486,1,24,Group6,0.578696900018258,180,118,right,0.030667999992147088,14,143.1866704999993,40,142.65552719999687,2,143.35829579998972,female,,26,143.93699270000798,2
l,152.02017929998692,no_prime,52,148.35300679999636,2.9951169999840204,1,42,Group6,0.5788545999967027,180,118,none,0.03131560000474565,15,148.85342569998465,40,148.32169119999162,2,149.0250623000029,female,,27,149.6039168999996,2
a,157.68699970000307,blue,31,154.01982290000888,2.9951893000106793,1,21,Group6,0.5456066000042483,180,118,blue,0.03135640002437867,11,154.52029799998854,40,153.9884664999845,1,154.6918103999924,female,,28,155.23741699999664,2
a,163.35399899998447,left,33,159.68692919999012,2.995383799978299,1,23,Group6,0.5623774999985471,180,118,left,0.031128100003115833,13,160.18742329999804,40,159.655801099987,1,160.35861520000617,female,,29,160.92099270000472,2
l,170.32080839999253,right,34,165.35376050000195,2.995132200012449,1,24,Group6,0.5457224000128917,180,40,right,0.03120990001480095,14,165.85408190000453,118,165.32255059998715,2,167.32567619998008,female,,30,167.87139859999297,2
l,174.687674899993,right,34,171.02063749998342,2.995327999989968,1,24,Group6,0.6626409000018612,180,118,right,0.031219399999827147,14,171.52101559998118,40,170.9894180999836,2,171.69234690000303,female,,31,172.3549878000049,2
a,181.65456249998533,left,33,176.68802249999135,2.9944736000034027,1,23,Group6,0.5283243000158109,180,40,left,0.03181290000793524,13,177.18778750000638,118,176.6562095999834,1,178.66008889998193,female,,32,179.18841319999774,2
a,186.02142939998885,no_prime,51,182.35432300000684,2.9950124000024516,1,41,Group6,0.5621058999968227,180,118,none,0.03097580000758171,15,182.85465190000832,40,182.32334719999926,1,183.0264169999864,female,,33,183.58852289998322,2
a,191.68830189999426,left,33,188.0214316000056,2.995249600004172,1,23,Group6,0.5290322999935597,180,118,left,0.03135820000898093,13,188.52155539998785,40,187.99007339999662,1,188.6930522999901,female,,34,189.22208459998365,2
l,197.3551835999824,right,34,193.6880974000087,2.9951560999907088,1,24,Group6,0.5289617000089493,180,118,right,0.031293700012611225,14,194.18848270000308,40,193.6568036999961,2,194.3600274999917,female,,35,194.88898920000065,2
l,204.32209239999065,red,32,199.35518670000602,2.9949862000066787,1,22,Group6,0.4787707000214141,180,40,red,0.03138830000534654,12,199.85510089999298,118,199.32379840000067,2,201.32710619998397,female,,36,201.8058769000054,2
a,209.9890458000009,left,33,205.0222002999799,2.9950452000193764,1,23,Group6,0.5289136000210419,180,40,left,0.031538299983367324,13,205.52220710000256,118,204.99066199999652,1,206.99400059998152,female,,37,207.52291420000256,2
